date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:35	32716/32716	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fcc%22	https://akhepura.com/qawwali-group.html	C:/My%20Web%20Sites/akhepura/akhepura.com/qawwali-group.html	(from https://akhepura.com/)
13:13:35	32917/32917	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-8095%22	https://akhepura.com/rajasthani-mix-with-bollywood-orchestra-dance-group.html	C:/My%20Web%20Sites/akhepura/akhepura.com/rajasthani-mix-with-bollywood-orchestra-dance-group.html	(from https://akhepura.com/)
13:13:35	32823/32823	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-8037%22	https://akhepura.com/wedding-lawazma-and-brass-band.html	C:/My%20Web%20Sites/akhepura/akhepura.com/wedding-lawazma-and-brass-band.html	(from https://akhepura.com/)
13:13:36	32923/32923	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-809b%22	https://akhepura.com/artists.html	C:/My%20Web%20Sites/akhepura/akhepura.com/artists.html	(from https://akhepura.com/)
13:13:36	38568/38568	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-96a8%22	https://akhepura.com/folk-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/folk-dance.html	(from https://akhepura.com/)
13:13:36	32683/32683	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fab%22	https://akhepura.com/rajasthani-chari-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/rajasthani-chari-dance.html	(from https://akhepura.com/)
13:13:37	32731/32731	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fdb%22	https://akhepura.com/rajasthani-bhawai-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/rajasthani-bhawai-dance.html	(from https://akhepura.com/)
13:13:37	32705/32705	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fc1%22	https://akhepura.com/kalbelia-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/kalbelia-dance.html	(from https://akhepura.com/)
13:13:37	32737/32737	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fe1%22	https://akhepura.com/gramin-bhawai-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/gramin-bhawai-dance.html	(from https://akhepura.com/)
13:13:38	32714/32714	---MCZ	200	added ('OK')	text/html	etag:W/%225ceb73b2-7fca%22	https://akhepura.com/terah-taali-dance.html	C:/My%20Web%20Sites/akhepura/akhepura.com/terah-taali-dance.html	(from https://akhepura.com/)
